asset_id,origin,repository,source_label,relative_path,name,filename,extension,kind,category,subcategory,pack,size_bytes,sha256,duplicate_count,duplicate_group,technical_status,license_status,license_evidence,preview_path,analysis_notes,audio_bit_rate,audio_channel_layout,audio_channels,audio_codec,audio_duration_seconds,audio_sample_rate,decoded_memory_bytes_estimate,dominant_colors_rgb,error,generated_at,image_bit_depth_estimate,image_channels,image_format,image_frames,image_has_alpha,image_height,image_icc_profile,image_mode,image_power_of_two,image_width,is_duplicate,mime_type,model_representative_asset_id,sampled_color_count,text_line_count_estimate,text_preview,texture_role,video_bit_rate,video_codec,video_duration_seconds,video_fps,video_height,video_width,warnings
TEM-000001,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/woc-logo-hero.webp,woc-logo-hero,woc-logo-hero.webp,.webp,IMAGE_TEXTURE,Woc-Logo-Hero.Webp,Geral,World of Claudecraft,154116,b5f42acb29636663d54aa84f69233f8ccee969cead87edbe6f0067bb2bcd8d95,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000001_woc-logo-hero.jpg,[],,,,,,,1794672,"[[3,3,3],[2,2,2],[4,4,4],[1,1,1],[5,5,4]]",,2026-08-17T18:53:10+00:00,8,3,WEBP,1,False,618,False,RGB,False,968,False,application/octet-stream,,2646,,,unspecified,,,,,,,[]
TEM-000002,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/icon-512.png,icon-512,icon-512.png,.png,IMAGE_TEXTURE,Icon-512.Png,Geral,World of Claudecraft,533912,1bc1566b0df408b0e62bc7d6e2c81f4a6e8641fc4fc195c1282b49cc5c1c4778,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000002_icon-512.jpg,[],,,,,,,1048576,"[[0,0,0],[1,1,1],[2,2,2],[0,1,1],[0,0,1]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,512,False,RGBA,True,512,False,image/png,,3039,,,unspecified,,,,,,,[]
TEM-000003,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/favicon-32x32.png,favicon-32x32,favicon-32x32.png,.png,IMAGE_TEXTURE,Favicon-32X32.Png,Geral,World of Claudecraft,3891,0659695dd21ce0fed6c182fda76179ebf50d5ab73cadc58006016c5091ca8489,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000003_favicon-32x32.jpg,[],,,,,,,4096,"[[0,0,0],[16,16,32],[2,5,9],[1,3,5],[0,48,48]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,32,False,RGBA,True,32,False,image/png,,3080,,,unspecified,,,,,,,[]
TEM-000004,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/home-bg.png,home-bg,home-bg.png,.png,IMAGE_TEXTURE,Home-Bg.Png,Geral,World of Claudecraft,2354417,eee39d88000a90948417915669fe9604c23a7ae8800044d72799934037089146,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000004_home-bg.jpg,[],,,,,,,4718592,"[[19,28,1],[14,23,2],[27,32,9],[26,32,9],[20,30,3]]",,2026-08-17T18:53:10+00:00,8,3,PNG,1,False,1024,False,RGB,False,1536,False,image/png,,3980,,,unspecified,,,,,,,"[""Resolução acima do alerta (1536x1024; limite de referência 1024px).""]"
TEM-000005,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/apple-touch-icon.png,apple-touch-icon,apple-touch-icon.png,.png,IMAGE_TEXTURE,Apple-Touch-Icon.Png,Geral,World of Claudecraft,72519,1f71445220a497a7f361991bed4afbdaeef60b0e8bb4236e4b44aa7fd3c770c8,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000005_apple-touch-icon.jpg,[],,,,,,,129600,"[[0,0,0],[1,1,1],[0,1,1],[0,0,1],[2,2,2]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,180,False,RGBA,False,180,False,image/png,,2985,,,unspecified,,,,,,,[]
TEM-000006,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/home-bg.mp4,home-bg,home-bg.mp4,.mp4,VIDEO,Home-Bg.Mp4,Geral,World of Claudecraft,5690619,7e6d83590656dab9eff4f97bdbc4c633f2641ec35fb258bee69f61bfe60fc371,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000006_home-bg.jpg,[],,,,,,,,,,2026-08-17T18:53:10+00:00,,,,,,,,,,,False,video/mp4,,,,,,2050552,h264,22.166667,30.0,1080,1920,[]
TEM-000007,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/woc_logo_square.webp,woc_logo_square,woc_logo_square.webp,.webp,IMAGE_TEXTURE,Woc Logo Square.Webp,Geral,World of Claudecraft,219470,831de50b4d2fa930e342029d1c30284340bc7ca22e91a15f97b1460ed6fa86fb,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000007_woc_logo_square.jpg,[],,,,,,,4717548,"[[6,4,3],[8,8,8],[7,7,7],[5,3,2],[3,3,6]]",,2026-08-17T18:53:10+00:00,8,3,WEBP,1,False,1254,False,RGB,False,1254,False,application/octet-stream,,2844,,,unspecified,,,,,,,"[""Resolução acima do alerta (1254x1254; limite de referência 1024px).""]"
TEM-000008,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/favicon.ico,favicon,favicon.ico,.ico,IMAGE_TEXTURE,Favicon.Ico,Geral,World of Claudecraft,12867,f426d08cae9892a52c2af06e2989a92a4130ebc069d01224115a349381c6a84d,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000008_favicon.jpg,[],,,,,,,9216,"[[0,0,0],[1,2,3],[13,23,36],[70,70,70],[10,10,10]]",,2026-08-17T18:53:10+00:00,8,4,ICO,1,True,48,False,RGBA,False,48,False,image/vnd.microsoft.icon,,3013,,,unspecified,,,,,,,[]
TEM-000009,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/loading-screen.jpg,loading-screen,loading-screen.jpg,.jpg,IMAGE_TEXTURE,Loading-Screen.Jpg,Geral,World of Claudecraft,559901,db941c65f53f8d2902745977f34312d4f6fe0dd74176136ee20c242615c3c807,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000009_loading-screen.jpg,[],,,,,,,4720122,"[[144,92,40],[151,97,42],[148,95,41],[149,95,41],[142,90,39]]",,2026-08-17T18:53:10+00:00,8,3,JPEG,1,False,1023,False,RGB,False,1538,False,image/jpeg,,3292,,,unspecified,,,,,,,"[""Resolução acima do alerta (1538x1023; limite de referência 1024px).""]"
TEM-000010,TEMPLATE,mgocbr3/world-of-claudecraft,World of Claudecraft,public/icon-192.png,icon-192,icon-192.png,.png,IMAGE_TEXTURE,Icon-192.Png,Geral,World of Claudecraft,81939,badb576af93c582168162400566b536457ddf92385b0b3b07ccf4742ab1331cd,1,,OK,FOUND_NEARBY,LICENSE,previews/TEM-000010_icon-192.jpg,[],,,,,,,147456,"[[0,0,0],[0,1,1],[2,2,2],[6,6,6],[3,3,3]]",,2026-08-17T18:53:10+00:00,8,4,PNG,1,True,192,False,RGBA,False,192,False,image/png,,2992,,,unspecified,,,,,,,[]
