duplicate_group,sha256,copy_count,asset_id,origin,relative_path,size_bytes
DUP-00001,527a4afd4116ff8ee2d70a5a6af8db1e93ed17f388f48cb77c199d51b5bbb5c9,2,TEM-000019,TEMPLATE,public/textures/fenbridge_surface_atlas.webp,87780
DUP-00001,527a4afd4116ff8ee2d70a5a6af8db1e93ed17f388f48cb77c199d51b5bbb5c9,2,NOV-007870,NOVO,01_Assets_Organizados/Textures/textures/fenbridge_surface_atlas.webp,87780
DUP-00002,c236f266a99480a437a66b2d54ba86e7ce344f0569d20ba2f45cde53fd75f02e,2,TEM-000020,TEMPLATE,public/textures/eastbrook_surface_rough.webp,122242
DUP-00002,c236f266a99480a437a66b2d54ba86e7ce344f0569d20ba2f45cde53fd75f02e,2,NOV-007871,NOVO,01_Assets_Organizados/Textures/textures/eastbrook_surface_rough.webp,122242
DUP-00003,d66f2fab603aa83e6c73c6fc4bdde2d545a6d8c1a0d4a58d42a3fb227e5a3f9b,2,TEM-000021,TEMPLATE,public/textures/eastbrook_surface_atlas.webp,141666
DUP-00003,d66f2fab603aa83e6c73c6fc4bdde2d545a6d8c1a0d4a58d42a3fb227e5a3f9b,2,NOV-007872,NOVO,01_Assets_Organizados/Textures/textures/eastbrook_surface_atlas.webp,141666
DUP-00004,905e7210b9f3d0c7ea252dccb93dc319cc75153ea27968d4ae243ccdd7695424,2,TEM-000022,TEMPLATE,public/textures/eastbrook_surface_normal.webp,107466
DUP-00004,905e7210b9f3d0c7ea252dccb93dc319cc75153ea27968d4ae243ccdd7695424,2,NOV-007873,NOVO,01_Assets_Organizados/Textures/textures/eastbrook_surface_normal.webp,107466
DUP-00005,ea442943770ba8b7fc06783654ef34f6f2a7aee7d1e272a6d26800b31d410b4a,2,TEM-000023,TEMPLATE,public/textures/fenbridge_surface_roughness.webp,17080
DUP-00005,ea442943770ba8b7fc06783654ef34f6f2a7aee7d1e272a6d26800b31d410b4a,2,NOV-007874,NOVO,01_Assets_Organizados/Textures/textures/fenbridge_surface_roughness.webp,17080
DUP-00006,d68714b1925f792840fd1b6dd90d682c5bc2e7a474177105e3a9bb12a017cef9,2,TEM-000024,TEMPLATE,public/textures/fenbridge_surface_normal.webp,90220
DUP-00006,d68714b1925f792840fd1b6dd90d682c5bc2e7a474177105e3a9bb12a017cef9,2,NOV-007875,NOVO,01_Assets_Organizados/Textures/textures/fenbridge_surface_normal.webp,90220
DUP-00007,4c226fe5bcc428ad8859f49832c1a933e31450dc0bafca8ab33610d15d3ea876,2,TEM-000025,TEMPLATE,public/vfx/slash_02.png,28122
DUP-00007,4c226fe5bcc428ad8859f49832c1a933e31450dc0bafca8ab33610d15d3ea876,2,NOV-005781,NOVO,01_Assets_Organizados/VFX/slash_02.png,28122
DUP-00008,439a58c4e3486031996af880a841067961218cb7f7cc513ded25dc480f50f840,2,TEM-000026,TEMPLATE,public/vfx/flare_01.png,17953
DUP-00008,439a58c4e3486031996af880a841067961218cb7f7cc513ded25dc480f50f840,2,NOV-005782,NOVO,01_Assets_Organizados/VFX/flare_01.png,17953
DUP-00009,89ec5d9a02676f5fe83f398a1b869c15e91dc65bef01d2c5f7c67b59bd2a9d8b,2,TEM-000027,TEMPLATE,public/vfx/trace_05.png,22660
DUP-00009,89ec5d9a02676f5fe83f398a1b869c15e91dc65bef01d2c5f7c67b59bd2a9d8b,2,NOV-005783,NOVO,01_Assets_Organizados/VFX/trace_05.png,22660
DUP-00010,d45c9fb99de978e0558492e0a3517ca5f3d8fb4530724c22b1ede6c2f85b16b2,2,TEM-000028,TEMPLATE,public/vfx/smoke_05.png,67943
DUP-00010,d45c9fb99de978e0558492e0a3517ca5f3d8fb4530724c22b1ede6c2f85b16b2,2,NOV-005784,NOVO,01_Assets_Organizados/VFX/smoke_05.png,67943
DUP-00011,c9e0e947892b87cb71e110e60d85798810142b11aed154542c50b17dc93033b0,2,TEM-000029,TEMPLATE,public/vfx/light_01.png,60764
DUP-00011,c9e0e947892b87cb71e110e60d85798810142b11aed154542c50b17dc93033b0,2,NOV-005785,NOVO,01_Assets_Organizados/VFX/light_01.png,60764
DUP-00012,195f614a39a40b3e03961887e2d817f19bf4ec47f7091a42977c9923b55d8ccf,2,TEM-000030,TEMPLATE,public/vfx/flame_03.png,34261
