template_asset_id,template_path,template_category,template_kind,candidate_new_asset_id,candidate_new_path,decision,priority,geometry_action,texture_action,rig_action,animation_action,scale_pivot_action,license_gate,runtime_evidence,notes
TEM-000001,public/woc-logo-hero.webp,Woc-Logo-Hero.Webp,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000002,public/icon-512.png,Icon-512.Png,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000003,public/favicon-32x32.png,Favicon-32X32.Png,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000004,public/home-bg.png,Home-Bg.Png,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000005,public/apple-touch-icon.png,Apple-Touch-Icon.Png,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000006,public/home-bg.mp4,Home-Bg.Mp4,VIDEO,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000007,public/woc_logo_square.webp,Woc Logo Square.Webp,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000008,public/favicon.ico,Favicon.Ico,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000009,public/loading-screen.jpg,Loading-Screen.Jpg,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000010,public/icon-192.png,Icon-192.Png,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000011,public/woc-logo-guide.webp,Woc-Logo-Guide.Webp,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000012,public/worldofclaudecraft-logo.png,Worldofclaudecraft-Logo.Png,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000013,public/favicon-16x16.png,Favicon-16X16.Png,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000014,public/audio/dungeon-boss-fight.mp3,Audio,AUDIO,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000015,public/audio/main-theme.mp3,Audio,AUDIO,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000016,public/audio/sowfield-waiting.mp3,Audio,AUDIO,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000017,public/audio/sowfield-match.mp3,Audio,AUDIO,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000018,public/claudium/claudium_coin_hero_3q.webp,Claudium,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000019,public/textures/fenbridge_surface_atlas.webp,Textures,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000020,public/textures/eastbrook_surface_rough.webp,Textures,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000021,public/textures/eastbrook_surface_atlas.webp,Textures,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000022,public/textures/eastbrook_surface_normal.webp,Textures,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000023,public/textures/fenbridge_surface_roughness.webp,Textures,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000024,public/textures/fenbridge_surface_normal.webp,Textures,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000025,public/vfx/slash_02.png,Vfx,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000026,public/vfx/flare_01.png,Vfx,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000027,public/vfx/trace_05.png,Vfx,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000028,public/vfx/smoke_05.png,Vfx,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000029,public/vfx/light_01.png,Vfx,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000030,public/vfx/flame_03.png,Vfx,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
TEM-000031,public/vfx/dirt_02.png,Vfx,IMAGE_TEXTURE,,,PENDING,,,,,,,FOUND_NEARBY,,
