asset_id,origin,kind,status,relative_path,notes
TEM-000131,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-400-italic-latin.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000132,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-400-latin-ext.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000133,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-700-latin-ext.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000134,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-400-latin.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000135,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-400-vietnamese.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000136,TEMPLATE,FONT,PARTIAL,public/fonts/cinzel-400-700-latin.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000137,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-400-cyrillic.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000138,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-500-latin.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000139,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-400-cyrillic.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000140,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-400-latin.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000141,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-400-italic-cyrillic.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000142,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-700-vietnamese.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000143,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-400-italic-latin-ext.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000144,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-400-italic-vietnamese.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000145,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-700-cyrillic.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000146,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-500-latin-ext.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000147,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-400-latin-ext.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000148,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-400-vietnamese.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000149,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-500-vietnamese.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000150,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-500-cyrillic.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000151,TEMPLATE,FONT,PARTIAL,public/fonts/alegreya-sans-700-latin.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000152,TEMPLATE,FONT,PARTIAL,public/fonts/cinzel-400-700-latin-ext.woff2,Fonte catalogada sem preview completo: ImportError: No module named brotli
TEM-000176,TEMPLATE,IMAGE_TEXTURE,ERROR,public/env/nightbloom_dream_2k.hdr,Falha ao abrir/renderizar imagem: UnidentifiedImageError: cannot identify image file '/home/runner/work/PSX_demons_whip/PSX_demons_whip/workspace/template/public/env/nightbloom_dream_2k.hdr'
TEM-000177,TEMPLATE,IMAGE_TEXTURE,ERROR,public/env/wraithwood_gloom_1k.hdr,Falha ao abrir/renderizar imagem: UnidentifiedImageError: cannot identify image file '/home/runner/work/PSX_demons_whip/PSX_demons_whip/workspace/template/public/env/wraithwood_gloom_1k.hdr'
TEM-000179,TEMPLATE,IMAGE_TEXTURE,ERROR,public/env/amber_sunset_2k.hdr,Falha ao abrir/renderizar imagem: UnidentifiedImageError: cannot identify image file '/home/runner/work/PSX_demons_whip/PSX_demons_whip/workspace/template/public/env/amber_sunset_2k.hdr'
TEM-000181,TEMPLATE,IMAGE_TEXTURE,ERROR,public/env/amber_sunset_1k.hdr,Falha ao abrir/renderizar imagem: UnidentifiedImageError: cannot identify image file '/home/runner/work/PSX_demons_whip/PSX_demons_whip/workspace/template/public/env/amber_sunset_1k.hdr'
TEM-000182,TEMPLATE,IMAGE_TEXTURE,ERROR,public/env/vale_day_1k.hdr,Falha ao abrir/renderizar imagem: UnidentifiedImageError: cannot identify image file '/home/runner/work/PSX_demons_whip/PSX_demons_whip/workspace/template/public/env/vale_day_1k.hdr'
