scope,relative_path,category,file_name,extension,size_bytes,size_kb,size_mb,mapping_status,mapping_source,mapping_target,mapping_label,triangles,vertices,materials,textures_in_gltf,image_width,image_height,image_mode
01_Assets_Organizados,Buildings/Medieval_Dracula_Assets.glb,Buildings,Medieval_Dracula_Assets.glb,.glb,11711748,11437.25,11.1692,UNMAPPED,,,,69570,90576,166,165,,,
01_Assets_Organizados,Buildings/psx_abandoned_church.glb,Buildings,psx_abandoned_church.glb,.glb,524072,511.79,0.4998,UNMAPPED,,,,441,646,5,5,,,
01_Assets_Organizados,Buildings/psx_church.glb,Buildings,psx_church.glb,.glb,1907864,1863.15,1.8195,UNMAPPED,,,,873,1314,1,1,,,
01_Assets_Organizados,Characters/barbarian.glb,Characters,barbarian.glb,.glb,444244,433.83,0.4237,⚠️ CRIAR,chars/players/barbarian.glb,chars/players/berserker.glb,Berserker,7123,6050,1,1,,,
01_Assets_Organizados,Characters/barbarian_hit_variety_anims.glb,Characters,barbarian_hit_variety_anims.glb,.glb,21592,21.09,0.0206,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/bow_anims.glb,Characters,bow_anims.glb,.glb,61960,60.51,0.0591,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/bow_hold_anim.glb,Characters,bow_hold_anim.glb,.glb,36472,35.62,0.0348,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/dark_fantasy_monk__psx_style_low-poly.glb,Characters,dark_fantasy_monk__psx_style_low-poly.glb,.glb,157496,153.8,0.1502,UNMAPPED,,,,692,491,1,1,,,
01_Assets_Organizados,Characters/druid.glb,Characters,druid.glb,.glb,463692,452.82,0.4422,⚠️ CRIAR,chars/players/druid.glb,chars/players/cleric.glb,Cleric,7784,7481,1,1,,,
01_Assets_Organizados,Characters/druid_ability_anims.glb,Characters,druid_ability_anims.glb,.glb,91164,89.03,0.0869,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/druid_hit_variety_anims.glb,Characters,druid_hit_variety_anims.glb,.glb,21592,21.09,0.0206,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/hunter_ability_anims.glb,Characters,hunter_ability_anims.glb,.glb,110696,108.1,0.1056,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/knight.glb,Characters,knight.glb,.glb,462916,452.07,0.4415,⚠️ CRIAR,chars/players/knight.glb,chars/players/paladin.glb,Paladin,5800,5328,1,1,,,
01_Assets_Organizados,Characters/knight_hit_variety_anims.glb,Characters,knight_hit_variety_anims.glb,.glb,21592,21.09,0.0206,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/mage.glb,Characters,mage.glb,.glb,441576,431.23,0.4211,⚠️ CRIAR,chars/players/mage.glb,chars/players/sorcerer.glb,Sorcerer,6668,5421,1,1,,,
01_Assets_Organizados,Characters/mage_ability_anims.glb,Characters,mage_ability_anims.glb,.glb,97320,95.04,0.0928,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/mage_classic.glb,Characters,mage_classic.glb,.glb,731428,714.29,0.6975,UNMAPPED,,,,5683,5279,1,1,,,
01_Assets_Organizados,Characters/mage_classic_hit_variety_anims.glb,Characters,mage_classic_hit_variety_anims.glb,.glb,35592,34.76,0.0339,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/mage_hit_variety_anims.glb,Characters,mage_hit_variety_anims.glb,.glb,21592,21.09,0.0206,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/paladin.glb,Characters,paladin.glb,.glb,448820,438.3,0.428,⚠️ CRIAR,chars/players/paladin.glb,chars/players/inquisitor.glb,Inquisitor,5658,5392,2,1,,,
01_Assets_Organizados,Characters/paladin_ability_anims.glb,Characters,paladin_ability_anims.glb,.glb,108960,106.41,0.1039,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/paladin_hit_variety_anims.glb,Characters,paladin_hit_variety_anims.glb,.glb,21600,21.09,0.0206,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/ps1_psx_knight.glb,Characters,ps1_psx_knight.glb,.glb,797272,778.59,0.7603,UNMAPPED,,,,544,532,2,2,,,
01_Assets_Organizados,Characters/raging_wolf_knight_psx.glb,Characters,raging_wolf_knight_psx.glb,.glb,459496,448.73,0.4382,UNMAPPED,,,,562,498,1,1,,,
01_Assets_Organizados,Characters/ranger.glb,Characters,ranger.glb,.glb,465964,455.04,0.4444,⚠️ CRIAR,chars/players/ranger.glb,chars/players/hunter.glb,Hunter,8900,7734,1,1,,,
01_Assets_Organizados,Characters/ranger_hit_variety_anims.glb,Characters,ranger_hit_variety_anims.glb,.glb,21592,21.09,0.0206,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/rogue.glb,Characters,rogue.glb,.glb,477976,466.77,0.4558,⚠️ CRIAR,chars/players/rogue.glb,chars/players/assassin.glb,Assassin,7562,6422,1,1,,,
01_Assets_Organizados,Characters/rogue_ability_anims.glb,Characters,rogue_ability_anims.glb,.glb,92808,90.63,0.0885,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/rogue_hit_variety_anims.glb,Characters,rogue_hit_variety_anims.glb,.glb,21592,21.09,0.0206,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/rogue_hooded.glb,Characters,rogue_hooded.glb,.glb,448736,438.22,0.4279,UNMAPPED,,,,7185,5909,1,1,,,
01_Assets_Organizados,Characters/rogue_hooded_hit_variety_anims.glb,Characters,rogue_hooded_hit_variety_anims.glb,.glb,21592,21.09,0.0206,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/shaman_ability_anims.glb,Characters,shaman_ability_anims.glb,.glb,91732,89.58,0.0875,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/swim_anims.glb,Characters,swim_anims.glb,.glb,93788,91.59,0.0894,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/warlock_ability_anims.glb,Characters,warlock_ability_anims.glb,.glb,75888,74.11,0.0724,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Characters/warrior_ability_anims.glb,Characters,warrior_ability_anims.glb,.glb,24480,23.91,0.0233,UNMAPPED,,,,0,0,0,0,,,
01_Assets_Organizados,Dungeon/arch.glb,Dungeon,arch.glb,.glb,36168,35.32,0.0345,⚠️ REESTILIZAR,dungeon/arch.glb,dungeon/arch.glb,Stone Arch,436,820,1,1,,,
01_Assets_Organizados,Dungeon/arch_gate.glb,Dungeon,arch_gate.glb,.glb,48776,47.63,0.0465,⚠️ REESTILIZAR,dungeon/arch_gate.glb,dungeon/arch_gate.glb,Gate Arch,868,1658,1,1,,,
01_Assets_Organizados,Dungeon/banner_blue.glb,Dungeon,banner_blue.glb,.glb,29200,28.52,0.0278,⚠️ REESTILIZAR,dungeon/banner_blue.glb,dungeon/banner_blue.glb,Banner Blue,97,205,1,1,,,
01_Assets_Organizados,Dungeon/banner_brown.glb,Dungeon,banner_brown.glb,.glb,32352,31.59,0.0309,⚠️ REESTILIZAR,dungeon/banner_brown.glb,dungeon/banner_brown.glb,Banner Brown,97,187,1,1,,,
01_Assets_Organizados,Dungeon/banner_green.glb,Dungeon,banner_green.glb,.glb,29204,28.52,0.0279,⚠️ REESTILIZAR,dungeon/banner_green.glb,dungeon/banner_green.glb,Banner Green,97,205,1,1,,,
01_Assets_Organizados,Dungeon/banner_patterna_blue.glb,Dungeon,banner_patterna_blue.glb,.glb,32664,31.9,0.0312,UNMAPPED,,,,110,220,1,1,,,
